Country Name,Event,Language,Region,annotation_id,no GG detected,region_specification,Theme_Combined,Year,Cumulative CO2,GDP_capita,Annual_Capita_CO2_Consumption,HDI,HDI_Level,LDC,SIDS
Madagascar,COP27,translated,Africa,486,Yes,,NG,2022,0.0059366305,516.592615982213,0.14871116,0.487,Low,Yes,No
Cape Verde,COP28,en,Africa,513,Yes,,NG,2022,,3754.30479371603,0.9588915,0.661,Medium,No,Yes
Djibouti,COP28,en,Africa,520,Yes,,NG,2022,0.0011254633,3136.11276804873,0.40418932,0.515,Low,Yes,No
Gambia,COP28,en,Africa,524,Yes,,NG,2022,0.0009066433,808.278281490135,0.2847278,0.495,Low,Yes,No
Guinea,COP28,en,Africa,525,Yes,,NG,2022,0.00553954,1515.16794777584,0.35742033,0.471,Low,Yes,No
Liberia,COP28,en,Africa,538,Yes,,NG,2022,0.0028667962,754.532842914744,0.1653753,0.487,Low,Yes,No
Seychelles,COP28,en,Africa,561,Yes,,NG,2022,0.00084190554,13250.4558332375,6.1495123,0.802,Very High,No,Yes
Sierra Leone,COP28,en,Africa,562,Yes,,NG,2022,0.002189047,475.795727844622,0.13124847,0.458,Low,Yes,No
Zambia,COP28,en,Africa,579,Yes,,NG,2022,0.015142661,1456.90157015445,0.44570068,0.569,Medium,Yes,No
Equatorial Guinea,COP28,translated,Africa,582,Yes,,NG,2022,0.008128993,7182.26538205027,3.0307202,0.65,Medium,No,No
Burkina Faso,COP28,translated,Africa,591,Yes,,NG,2022,,830.03715033429,0.26295447,0.438,Low,Yes,No
Congo,COP28,translated,Africa,595,Yes,,NG,2022,0.009715495,2649.22502230642,1.2447897,0.593,Medium,No,No
Côte d'Ivoire,COP28,translated,Africa,597,Yes,,NG,2022,,2486.41219394248,0.41668788,0.534,Low,No,No
Madagascar,COP28,translated,Africa,599,Yes,,NG,2022,0.0059366305,516.592615982213,0.14871116,0.487,Low,Yes,No
Mali,COP28,translated,Africa,600,Yes,,NG,2022,0.004838656,833.297255093071,0.31153768,0.41,Low,Yes,No
Niger,COP25,en,Africa,147,,,S_dom,2019,0.0027879868,549.81612778082,0.10720992,0.394,Low,Yes,No
